Totales Territoriales	Comunidades y Ciudades Autónomas	Provincias	Viajeros y pernoctaciones	Residencia: Nivel 1	Residencia: Nivel 2	Periodo	Total
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2016M01	8.616
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2015M12	7.381
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2015M11	10.267
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2015M10	21.115
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2015M09	35.699
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2015M08	33.360
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2015M07	36.218
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2015M06	28.137
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2015M05	22.565
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2015M04	15.769
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2015M03	11.571
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2015M02	8.443
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2015M01	7.676
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total	Residentes en el Extranjero	2025M10	118.085
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total	Residentes en el Extranjero	2025M09	107.580
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total	Residentes en el Extranjero	2025M08	87.216
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total	Residentes en el Extranjero	2025M07	92.404
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total	Residentes en el Extranjero	2025M06	102.462
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total	Residentes en el Extranjero	2025M05	106.621
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total	Residentes en el Extranjero	2025M04	94.677
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total	Residentes en el Extranjero	2025M03	55.965
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total	Residentes en el Extranjero	2025M02	40.765
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total	Residentes en el Extranjero	2025M01	33.648
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total	Residentes en el Extranjero	2024M12	32.633
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total	Residentes en el Extranjero	2024M11	49.048
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total	Residentes en el Extranjero	2024M10	106.673
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total	Residentes en el Extranjero	2024M09	111.227
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total	Residentes en el Extranjero	2024M08	89.695
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total	Residentes en el Extranjero	2024M07	87.768
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total	Residentes en el Extranjero	2024M06	95.254
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total	Residentes en el Extranjero	2024M05	115.618
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total	Residentes en el Extranjero	2024M04	96.344
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total	Residentes en el Extranjero	2024M03	59.764
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total	Residentes en el Extranjero	2024M02	44.854
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total	Residentes en el Extranjero	2024M01	33.591
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total	Residentes en el Extranjero	2023M12	31.053
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total	Residentes en el Extranjero	2023M11	44.550
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total	Residentes en el Extranjero	2023M10	108.176
